,Code,Name,City,Country,Altitude,Latitude,Longitude
3425,BOI,BOISE AIR TERMINAL,BOISE,USA,876,43.564,-116.223
3426,BOS,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL,BOSTON,USA,6,42.364,-71.005
3427,BPT,SOUTHEAST TEXAS RGNL,BEAUMONT,USA,5,29.951,-94.021
3428,BRO,BROWNSVILLE SOUTH PADRE ISLAND INTERNATIONAL,BROWNSVILLE,USA,7,25.907,-97.426
3429,,,AUSTIN,USA,0,0,0
3430,BTR,BATON ROUGE METRO RYAN FLD,BATON ROUGE,USA,22,30.533,-91.149
3431,BTV,BURLINGTON INTERNATIONAL,BURLINGTON,USA,103,44.472,-73.153
3432,BUF,BUFFALO NIAGARA INTERNATIONAL,BUFFALO,USA,221,42.94,-78.732
3433,BUR,BURBANK GLENDALE PASADENA,BURBANK,USA,238,34.201,-118.359
3434,BWI,BALTIMORE WASHINGTON INTERNATIONAL,BALTIMORE,USA,45,39.175,-76.668
3435,BYH,ARKANSAS INTERNATIONAL,BLYTHEVILLE,USA,77,35.964,-89.943
3436,BYS,BICYCLE LAKE AAF,FORT IRWIN,USA,717,35.28,-116.63
3437,CAE,COLUMBIA METROPOLITAN,COLOMBIA,USA,72,33.939,-81.119
3438,CAR,CARIBOU MUNI,CARIBOU,USA,191,46.871,-68.018
3439,CBM,COLUMBUS AFB,COLOMBUS,USA,67,33.644,-88.444
3440,CDC,CEDAR CITY RGNL,CEDAR CITY,USA,1714,37.701,-113.099
3441,CDS,CHILDRESS MUNI,CHILDRESS,USA,596,34.434,-100.288
3442,CEF,WESTOVER ARB METROPOLITAN,CHICOPEE FALLS,USA,75,42.198,-72.534
3443,CEW,BOB SIKES,CRESTVIEW,USA,65,30.779,-86.522
3444,CFD,COULTER FLD,BRYAN,USA,112,30.716,-96.331
3445,,,MCCONNELL,USA,0,0,0
3446,CHA,LOVELL FLD,CHATTANOOGA,USA,208,35.035,-85.204
3447,,,CHANDLER,USA,0,0,0
3448,CHS,CHARLESTON AFB INTERNATIONAL,CHARLESTON,USA,14,32.899,-80.04
3449,CIC,CHICO MUNI,CHICO,USA,73,39.795,-121.858
3450,CLE,CLEVELAND HOPKINS INTERNATIONAL,CLEVELAND,USA,242,41.412,-81.85
3451,CLL,EASTERWOOD FLD,COLLEGE STATION,USA,98,30.588,-96.364
3452,CLT,CHARLOTTE DOUGLAS INTERNATIONAL,CHARLOTTE,USA,229,35.214,-80.943
3453,CMH,PORT COLUMBUS INTERNATIONAL,COLUMBUS,USA,249,39.998,-82.892
3454,CNM,CAVERN CITY AIR TERMINAL,CARLSBAD,USA,1005,32.337,-104.263
3455,CNW,TSTC WACO,WACO,USA,144,31.638,-97.074
3456,COF,PATRICK AFB,COCO BEACH,USA,3,28.235,-80.61
3457,COS,CITY OF COLORADO SPRINGS MUNI,COLORADO SPRINGS,USA,1885,38.806,-104.7
3458,COT,COTULLA LA SALLE CO,COTULLA,USA,146,28.458,-99.22
3459,COU,COLUMBIA RGNL,COLUMBIA,USA,271,38.818,-92.219
3460,CPR,NATRONA CO INTERNATIONAL,CASPER,USA,1631,42.908,-106.464
3461,CRP,CORPUS CHRISTI INTERNATIONAL,CORPUS CHRISTI,USA,14,27.77,-97.501
3462,CTB,CUT BANK MUNI,CUTBANK,USA,1175,48.608,-112.376
3463,,,COLUMBUS,USA,0,0,0
3464,CVG,CINCINNATI NORTHERN KENTUCKY INTERNATIONAL,CINCINNATI,USA,274,39.046,-84.662
3465,CVS,CANNON AFB,CLOVIS,USA,1310,34.383,-103.322
3466,CXL,CALEXICO INTERNATIONAL,CALEXICO,USA,2,32.669,-115.513
3467,CXO,MONTGOMERY CO,CONROE,USA,75,30.352,-95.414
3468,CYS,CHEYENNE,CHEYENNE,USA,1877,41.156,-104.812
3469,DAL,DALLAS LOVE FLD,DALLAS,USA,149,32.847,-96.852
3470,DAY,JAMES M COX DAYTON INTERNATIONAL,DAYTON,USA,308,39.902,-84.219
3471,DCA,RONALD REAGAN WASHINGTON NATIONAL,WASHINGTON,USA,5,38.852,-77.037
3472,,,SAN DIEGO,USA,0,0,0
3473,,,FORT BELVOIR,USA,0,0,0
3474,DEN,DENVER INTERNATIONAL,DENVER,USA,1656,39.858,-104.667
3475,DET,DETROIT CITY,DETROIT,USA,191,42.409,-83.01
3476,DFW,DALLAS FORT WORTH INTERNATIONAL,DALLAS-FORT WORTH,USA,184,32.896,-97.037
3477,DHN,DOTHAN RGNL,DOTHAN,USA,123,31.321,-85.449
3478,DHT,DALHART MUNI,DALHART,USA,1217,36.023,-102.547
3479,DLF,LAUGHLIN AFB,DEL RIO,USA,330,29.359,-100.778
3480,DLH,DULUTH INTERNATIONAL,DULUTH,USA,436,46.842,-92.194
3481,DMA,DAVIS MONTHAN AFB,TUCSON,USA,825,32.166,-110.883
3482,,,DANNELLY,USA,0,0,0
3483,DOV,DOVER AFB,DOVER,USA,10,39.13,-75.466
3484,DPA,DU PAGE,WEST CHICAGO,USA,232,41.908,-88.249
3485,DRI,BEAUREGARD PARISH,DERIDDER,USA,63,30.832,-93.34
3486,DRO,DURANGO LA PLATA CO,DURANGO,USA,2038,37.151,-107.754
3487,DRT,DEL RIO INTERNATIONAL,DEL RIO,USA,305,29.373,-100.926
3488,DSM,DES MOINES INTERNATIONAL,DES MOINES,USA,292,41.534,-93.663
3489,DTW,DETROIT METRO WAYNE CO,DETROIT,USA,197,42.212,-83.353
3490,DUG,BISBEE DOUGLAS INTERNATIONAL,DOUGLAS,USA,1267,31.469,-109.604
3491,DYS,DYESS AFB,ABILENE,USA,546,32.421,-99.854
3492,ECG,ELIZABETH CITY CGAS RGNL,ELIZABETH CITY,USA,4,36.261,-76.174
3493,EDW,EDWARDS AFB,EDWARDS AFB,USA,702,34.905,-117.884
3494,EFD,ELLINGTON FLD,HOUSTON,USA,10,29.607,-95.159
3495,EGP,EAGLE PASS MUNI,EAGLE PASS,USA,246,28.7,-100.479
3496,EKN,ELKINS RANDOLPH CO JENNINGS RANDOLPH,ELKINS,USA,606,38.889,-79.857
3497,ELD,SOUTH ARKANSAS RGNL AT GOODWIN FLD,EL DORADO,USA,85,33.221,-92.813
3498,ELP,EL PASO INTERNATIONAL,EL PASO,USA,1207,31.807,-106.378
3499,END,VANCE AFB,ENID,USA,399,36.34,-97.916
