,airline,airline_id,source,source_id,dest,dest_id,equipment
57037,UA,5209,LGA,3697,ORD,3830,319 320 738 73G 752
57136,UA,5209,MIA,3576,DEN,3751,319
57140,UA,5209,MIA,3576,IAD,3714,319
57145,UA,5209,MIA,3576,ORD,3830,CR7
57175,UA,5209,MSP,3858,DEN,3751,320
57177,UA,5209,MSP,3858,IAD,3714,CR7 ERJ
57179,UA,5209,MSP,3858,LAX,3484,CR7
57180,UA,5209,MSP,3858,ORD,3830,73G 738 319
57181,UA,5209,MSP,3858,SFO,3469,320 739 319
57266,UA,5209,ORD,3830,BOS,3448,320 752 739 738 73G 319
57287,UA,5209,ORD,3830,DCA,3520,320 319 738 73G 752
57288,UA,5209,ORD,3830,DEN,3751,752 738 320 739 73G 753 319
57313,UA,5209,ORD,3830,IAD,3714,777 320 752 739 73G 753 319
57320,UA,5209,ORD,3830,LAS,3877,738 752 320 319 73G 739 753
57321,UA,5209,ORD,3830,LAX,3484,738 753 320 739 752 319
57323,UA,5209,ORD,3830,LGA,3697,738 320 319 752 73G
57334,UA,5209,ORD,3830,MIA,3576,CR7
57340,UA,5209,ORD,3830,MSP,3858,73G 738 319 320
57377,UA,5209,ORD,3830,SEA,3577,320 752 738 739
57378,UA,5209,ORD,3830,SFO,3469,752 739 320 738 753 319 777
57613,UA,5209,SEA,3577,DEN,3751,738 320 739 752 753 319
57616,UA,5209,SEA,3577,IAD,3714,752 320 739 738
57619,UA,5209,SEA,3577,LAX,3484,739 320
57621,UA,5209,SEA,3577,ORD,3830,738 320 739 752 319
57623,UA,5209,SEA,3577,SFO,3469,319 739 320 738 752
57632,UA,5209,SFO,3469,BOS,3448,752 753 738 739 319 320
57641,UA,5209,SFO,3469,DCA,3520,738 73G
57642,UA,5209,SFO,3469,DEN,3751,752 739 738 320 319
57652,UA,5209,SFO,3469,IAD,3714,753 752 738 739 320 319
57656,UA,5209,SFO,3469,JFK,3797,757
57659,UA,5209,SFO,3469,LAS,3877,752 738 739 320 319
57660,UA,5209,SFO,3469,LAX,3484,319 320 752 738 753 739
57670,UA,5209,SFO,3469,MSP,3858,320 739 319
57677,UA,5209,SFO,3469,ORD,3830,738 739 752 320 753 319 777 73G
57697,UA,5209,SFO,3469,SEA,3577,319 738 739 320 752 753
58670,US,5265,BOS,3448,DCA,3520,319 E90
58672,US,5265,BOS,3448,JFK,3797,738
58673,US,5265,BOS,3448,LAX,3484,738 757
58674,US,5265,BOS,3448,LGA,3697,E90 319
58676,US,5265,BOS,3448,MIA,3576,757 738
58677,US,5265,BOS,3448,ORD,3830,738
58937,US,5265,DCA,3520,BOS,3448,319 E90
58964,US,5265,DCA,3520,JFK,3797,738
58965,US,5265,DCA,3520,LAS,3877,319
58966,US,5265,DCA,3520,LAX,3484,738
58967,US,5265,DCA,3520,LGA,3697,319 E90
58973,US,5265,DCA,3520,MIA,3576,738
58974,US,5265,DCA,3520,MSP,3858,E70 E75
58980,US,5265,DCA,3520,ORD,3830,738 M83
59007,US,5265,DEN,3751,LAX,3484,CR7
59008,US,5265,DEN,3751,MIA,3576,738
59009,US,5265,DEN,3751,ORD,3830,CR7
59359,US,5265,IAD,3714,LAX,3484,738
59360,US,5265,IAD,3714,MIA,3576,738
59419,US,5265,JFK,3797,BOS,3448,738
59427,US,5265,JFK,3797,DCA,3520,738
59437,US,5265,JFK,3797,LAS,3877,738
59438,US,5265,JFK,3797,LAX,3484,32B 762
59444,US,5265,JFK,3797,MIA,3576,757 738
59446,US,5265,JFK,3797,ORD,3830,738
59454,US,5265,JFK,3797,SEA,3577,738
59455,US,5265,JFK,3797,SFO,3469,32B 763
59476,US,5265,LAS,3877,DCA,3520,320 319
59478,US,5265,LAS,3877,JFK,3797,738
59479,US,5265,LAS,3877,LAX,3484,738
59480,US,5265,LAS,3877,MIA,3576,738
59481,US,5265,LAS,3877,ORD,3830,M83 738
59490,US,5265,LAX,3484,BOS,3448,757 738
59493,US,5265,LAX,3484,DCA,3520,738
59494,US,5265,LAX,3484,DEN,3751,CR7
59502,US,5265,LAX,3484,IAD,3714,738
59506,US,5265,LAX,3484,JFK,3797,32B 762
59508,US,5265,LAX,3484,LAS,3877,738
59512,US,5265,LAX,3484,MIA,3576,757 777 763 738
59517,US,5265,LAX,3484,ORD,3830,738
59531,US,5265,LAX,3484,SFO,3469,738
59549,US,5265,LGA,3697,BOS,3448,319 E90
59554,US,5265,LGA,3697,DCA,3520,319 E90
59560,US,5265,LGA,3697,MIA,3576,738
59561,US,5265,LGA,3697,ORD,3830,738
59687,US,5265,MIA,3576,BOS,3448,757 738
59704,US,5265,MIA,3576,DCA,3520,738
59705,US,5265,MIA,3576,DEN,3751,738
59721,US,5265,MIA,3576,IAD,3714,738
59725,US,5265,MIA,3576,JFK,3797,763 757 738
59727,US,5265,MIA,3576,LAS,3877,738
59728,US,5265,MIA,3576,LAX,3484,777 763 757
59729,US,5265,MIA,3576,LGA,3697,738
59744,US,5265,MIA,3576,MSP,3858,738
59749,US,5265,MIA,3576,ORD,3830,738 763
59772,US,5265,MIA,3576,SEA,3577,757
